Tipo;Data;Curtidas;Comentários;Visualizações;Tags;Pessoas;Campanhas;Carrossel;Interacoes 
Foto;11/set;2.858;16;;Loja;N;N;;2.874
Foto;11/set;2.930;28;;Loja/Produtos;N;N;;2.958
Foto;11/set;2.807;9;;Loja;N;N;;2.816
Vídeo;12/set;5.115;49;82.878;Produtos;N;N;;5.164
Foto;13/set;4.392;45;;Produtos;S;N;;4.437
Foto;17/set;5.359;62;;Novos Produtos;N;S;S;5.421
Foto;19/set;21.597;852;;Novos Produtos;S;S;;22.449
Foto;25/set;6.346;33;;Produtos;N;S;;6.379
Foto;27/set;6.355;89;;Produtos;S;N;S;6.444
Vídeo;28/set;4.056;81;73.174;Produtos;N;N;;4.137
Reels;10/out;12.894;249;92.120;Trends/Produtos;S;N;;13.143
Foto;12/out;17.831;391;;;S;S;;18.222
Foto;21/out;6.166;55;;Novos Produtos;S;S;S;6.221
Foto;24/out;15.940;612;;Promoções;S;N;;16.552
Foto;29/out;14.121;184;;Datas comemorativas;S;S;;14.305
Vídeo;04/nov;3.646;71;25.336;Produtos;N;N;;3.717
Reels;06/nov;6.376;137;70.198;Produtos;N;N;;6.513
Vídeo;09/nov;3.213;60;21.914;Produtos;N;N;;3.273
Reels;12/nov;5.493;59;68.943;Produtos;N;N;;5.552
Foto;12/dez;16.086;268;;;S;S;;16.354
Foto;16/dez;2.881;29;;Produtos;N;N;;2.910
Foto;23/dez;8.328;93;;Produtos;S;N;S;8.421
Foto;26/dez;18.097;225;;Influenciadores;S;S;;18.322
Foto;28/dez;8.191;94;;Influenciadores;S;N;;8.285
Vídeo;30/dez;17.600;383;68.726;Trends;S;S;;17.983
Foto;02/jan;12.193;138;;Novos Produtos;S;N;S;12.331
Foto;08/jan;24.585;354;;Datas comemorativas;S;S;S;24.939
Foto;11/jan;16.067;265;;Novos Produtos;S;N;;16.332
Foto;15/jan;9.936;119;;Novos Produtos;S;N;S;10.055
Foto;19/jan;8.612;142;;;S;N;;8.754
Reels;24/jan;29.981;502;;Trends;S;S;;30.483
Foto;27/jan;10.019;103;;Novos Produtos;S;N;;10.122
IGTV;04/fev;9.270;222;60.964;Dicas de como usar/Produtos;S;N;;9.492
Foto;06/fev;24.655;186;;Influenciadores;S;S;;24.841
Foto;09/fev;20.660;292;;Influenciadores;S;S;;20.952
IGTV;10/fev;8.556;188;73.342;Dicas de como usar/Produtos;S;N;;8.744
Foto;12/fev;11.802;102;;Produtos;S;S;;11.904
Vídeo;13/fev;15.219;357;46.397;Datas comemorativas;S;S;;15.576
Foto;15/fev;17.687;213;;;S;N;;17.900
Foto;17/fev;37.351;502;;Promoções;S;S;;37.853
Foto;21/fev;21.621;213;;Influenciadores;S;S;S;21.834
Foto;22/fev;12.530;90;;;S;N;;12.620
Foto;26/fev;8.544;72;;Influenciadores;S;S;;8.616
Foto;04/mar;24.399;266;;;S;S;;24.665
IGTV;07/mar;5.918;116;17.819;Dicas de como usar/Novos Produtos;S;N;;6.034
Reels;08/mar;19.621;275;67.205;Trends;S;S;;19.896
Foto;09/mar;4.613;50;;Influenciadores;S;N;;4.663
IGTV;12/mar;5.489;77;17.796;Dicas de como usar/Novos Produtos;S;N;;5.566
Foto;20/mar;29.084;479;;Datas comemorativas/Promoções;S;S;;29.563
Foto;22/mar;9.087;106;;;S;S;;9.193
Foto;26/mar;16.551;186;;;S;N;;16.737
IGTV;27/mar;4.934;65;12.627;Dicas de como usar/Produtos;S;N;;4.999
